rna_cond1_S1	rna_cond1_S2	rna_cond1_S3	rna_cond1_S4	rna_cond2_S1	rna_cond2_S2	rna_cond2_S3	rna_cond2_S4
2047	2833	2845	1767	1901	660	1004	1305
23	20	44	45	42	6	13	34
25	112	130	1114	126	1144	1517	5098
601	609	483	451	60	122	87	41
54	26	41	27	42	9	33	31
786	165	472	920	466	86	349	409
753	452	835	368	650	361	511	635
110	351	370	135	287	262	201	323
464	217	426	184	158	226	302	126
243	227	147	353	393	206	274	401
2128	2112	972	1146	2373	1247	2228	2912
1027	1065	877	649	439	1176	385	832
330	383	1505	9124	664	1827	4770	9599
24	9	13	6	12	21	4	23
2062	3547	11036	41781	572	1758	5799	11953
14	12	19	29	8	18	7	28
745	1322	448	579	957	330	433	699
1540	1282	876	1407	150	149	239	285
64	84	195	1006	286	1367	1790	2617
582	575	898	802	3221	2168	1144	3057
5432	15125	31022	109960	2134	3020	8181	31996
478	1690	692	1456	976	886	1100	1550
4484	2391	5609	4727	3745	2944	3487	4369
470	534	949	549	764	527	568	632
794	408	363	888	863	564	477	770
2540	2439	1125	2278	2134	444	1970	564
330	808	543	343	339	367	760	826
1445	4428	2256	2688	4513	1681	4089	3287
313	197	276	506	152	154	299	288
608	1003	580	224	266	685	667	743
32	7	6	8	15	16	19	25
556	456	936	738	537	412	1030	789
2464	3180	2341	1837	1887	1248	1909	1102
48	29	108	71	74	87	86	96
1085	2349	1454	1524	2075	4013	812	1962
929	2247	10859	10508	4642	11521	47717	108880
2262	1545	2013	1262	856	2552	1214	1946
442	266	191	175	441	153	501	303
210	391	251	410	169	208	469	553
133	179	151	192	201	125	409	205
14	5	7	9	5	1	3	1
109	127	156	182	81	85	24	31
102	183	380	193	114	101	266	135
112	276	147	342	203	223	193	86
199	118	93	184	421	370	220	301
9	21	22	9	48	12	21	84
29844	34461	36915	14385	16941	93025	44793	58013
168	144	189	236	53	72	121	159
139	161	134	215	163	47	132	369
7	18	22	6	9	11	5	3
24	73	722	1527	4	19	48	253
519	1307	434	1610	1793	727	1769	744
294	206	173	317	205	370	221	411
24	30	53	50	28	0	0	36
2	6	7	7	5	6	1	9
213	29	94	60	149	109	261	185
233	1412	146	758	1136	846	1772	819
24	14	17	25	17	34	24	71
4587	6722	1968	823	4835	2476	1634	3871
45	135	66	74	89	137	77	213
0	10	11	3	11	0	7	9
298	422	307	364	69	137	432	145
544	787	1627	6393	957	2783	14442	23162
10944	13196	5007	9490	5950	13004	11919	6718
98	160	101	176	141	222	108	177
214	436	97	208	287	160	148	260
497	319	372	604	399	314	428	837
167	130	71	187	1163	1044	1686	775
62	41	69	59	10	27	64	17
2336	830	2214	2158	10523	13718	5332	8318
122	119	74	241	246	223	103	66
460	434	759	382	609	345	1205	649
89	199	144	129	484	137	375	382
28	12	46	40	25	39	32	24
1695	1091	2650	1060	1810	2066	1111	1489
312	70	637	292	120	365	233	149
97	239	237	158	59	69	51	38
552	338	379	412	390	252	594	972
12483	6376	12010	10757	4817	10643	7940	2696
25	47	31	26	23	21	16	58
11	12	9	2	16	5	16	5
360	702	400	557	176	263	202	129
2928	1236	3627	3419	2264	2342	2671	854
53	78	132	45	91	19	92	85
240	551	630	222	398	356	179	645
22736	62909	55412	48836	53865	42228	93008	23381
789	465	212	1156	734	353	776	862
109	205	76	134	146	97	93	78
1591	1437	854	986	1700	1806	2624	460
12	3	24	1	8	6	10	7
29	9	0	23	47	19	29	34
434	414	1146	237	1169	1195	1177	446
21465	30956	13796	30385	15179	21081	8205	8678
119	86	245	256	82	178	184	199
2	3	10	6	4	8	6	3
1670	745	2219	768	4321	1649	3904	1704
147	73	67	66	78	14	44	52
49	80	46	171	18	115	74	103
646	2105	4935	3553	638	807	9067	8112
71	54	107	41	50	94	68	21
88	208	144	155	73	170	104	347
574	617	656	888	1195	457	802	1786
5	4	2	6	6	1	3	2
907	987	666	1408	773	2076	848	824
188	201	269	260	264	511	276	479
245	742	691	501	1252	1385	1107	1377
96	58	115	43	47	61	112	141
196	444	165	143	546	205	385	167
1609	1205	701	1691	425	750	569	723
39	45	73	36	117	90	37	143
105	76	41	76	136	48	116	92
243	808	259	195	310	113	160	167
37	120	72	283	389	269	136	219
5	0	9	13	0	25	3	3
40	162	266	138	410	582	395	1098
142	180	111	39	65	160	126	104
1959	3703	3452	1974	1230	1771	2482	1516
1036	431	297	301	1094	493	348	296
237	356	489	488	209	165	371	38
65	79	244	166	84	188	164	172
250	355	454	330	303	547	179	317
261	383	299	375	264	313	135	385
374	186	54	318	168	164	193	34
667	567	358	434	529	293	388	382
292	805	1560	1488	1392	401	549	1452
87	106	53	101	38	67	65	192
15997	20955	14061	22329	9161	15904	39477	38950
89	210	131	175	135	148	134	113
84	256	412	135	2855	2622	3965	3197
680	797	1075	501	453	381	848	765
9	7	17	9	27	10	7	32
1684	2307	2118	591	1878	887	2237	1124
9	5	9	8	14	11	16	4
224	136	56	166	204	164	421	196
148	148	262	310	142	167	216	105
963	1261	5789	16639	324	832	282	4726
625	155	564	536	54	146	107	29
686	838	1473	1177	1686	1129	1211	1086
548	260	419	136	408	199	500	258
545	232	848	537	326	939	302	549
192	151	474	404	451	297	238	780
520	376	416	244	780	353	495	367
278	253	90	230	104	124	303	63
1	0	4	1	3	6	6	8
3	3	12	3	0	9	7	0
81	56	72	158	93	49	142	272
2247	2845	3286	2404	1334	2329	2346	718
1915	1783	951	1383	4857	3181	7276	2856
14	25	125	666	5	0	33	130
149	61	185	41	52	190	136	74
1375	972	840	1779	3101	1648	1581	1080
297	43	182	208	92	310	143	68
473	446	434	388	483	907	822	623
823	485	642	672	1438	299	447	412
1247	1634	1126	1803	1554	1694	1657	2827
4453	1823	5913	1089	36380	9620	3282	10709
340	244	275	203	726	340	753	528
511	206	180	315	452	937	387	308
102	128	110	47	60	112	70	54
2266	2273	2215	1871	1920	2886	1449	2860
20	14	23	23	52	34	81	72
918	692	1132	1380	1481	1070	1059	1737
23688	47970	40086	42172	18383	19038	22138	16140
14617	11386	25406	15181	3611	2451	4090	11705
140	56	169	135	135	218	86	126
3	9	7	5	7	5	8	8
9	5	2	7	4	7	4	4
396	328	612	485	478	836	820	716
1230	1592	1609	901	1229	1210	1297	924
78	191	109	422	341	122	254	95
689	494	584	279	863	454	1296	620
15	2	4	17	8	10	23	9
7	27	22	18	6	4	13	4
16	33	43	17	10	11	12	17
396	810	480	843	620	902	694	644
1302	1707	962	1183	842	1368	1723	2737
28	13	45	41	29	59	27	114
136	31	80	112	62	122	94	70
47	171	479	1942	354	1431	3697	7829
499	585	712	526	133	67	104	191
751	1068	539	665	530	201	361	503
388	227	273	481	308	187	70	198
263	410	199	180	451	139	95	335
532	714	752	306	1384	2126	1392	2548
1333	975	876	768	546	409	339	474
310	373	177	288	205	290	151	230
6	5	5	7	1	1	1	3
210	584	540	412	602	301	412	211
196	91	102	132	207	143	88	72
44	354	249	245	136	251	440	480
2	4	5	10	4	4	8	5
29	16	0	9	72	36	42	24
3	5	2	9	4	3	0	3
1917	2209	3029	2772	3788	2703	1681	1840
90	114	189	99	114	214	30	88
137	43	357	565	2	10	32	67
0	4	10	7	2	7	1	5
119770	50775	52091	50849	119789	100427	97387	35715
437	715	653	291	1437	676	1212	950
2635	2320	3767	1739	4372	1910	4873	1442
2509	713	2408	1606	700	1467	1869	1583
7	0	0	17	0	3	8	5
85	35	48	27	20	52	35	74
237	640	1371	1659	798	892	1178	809
120	294	190	202	92	130	141	277
21	65	34	32	10	27	93	26
130	116	135	76	105	101	84	73
845	1039	616	1085	1366	1974	689	453
25	24	23	3	14	10	24	58
330	259	219	189	106	115	150	301
736	329	677	700	336	269	172	348
89	88	157	102	105	53	63	118
5	16	6	5	4	9	4	13
528	1403	2858	1914	2103	3729	1652	7384
7	1	26	2	4	10	5	12
830	912	595	698	302	457	1464	227
572	1070	649	368	646	660	294	525
142	264	137	102	106	67	265	244
146	464	580	588	329	398	337	234
93	204	169	110	90	69	171	61
457	1047	621	511	647	1568	1624	1376
323	162	338	313	138	302	249	303
44	147	57	156	175	148	219	121
123	233	255	437	84	263	332	20
11	7	11	17	10	4	11	13
207	162	108	214	271	744	321	649
988	1451	2849	2472	3327	767	687	1461
200	183	46	394	96	77	63	44
24	64	33	50	16	35	31	17
259	269	312	149	167	316	493	338
852	456	507	401	777	527	680	342
767	596	641	599	982	732	1072	683
107625	39748	62829	86481	24766	91028	39794	46619
455	201	368	1884	1273	2297	1646	811
154	171	55	196	8	10	32	23
14	23	66	289	1	17	12	79
565	661	1096	740	567	759	689	825
31	8	8	10	4	17	14	5
79	179	87	80	187	118	384	459
219	88	184	297	246	115	611	671
516	198	110	189	83	159	86	230
16	2	1	4	17	23	22	9
10	24	17	28	3	36	9	25
347	790	353	406	429	376	543	204
979	1706	1129	2087	1338	854	1215	2438
612	1010	662	615	935	473	945	418
4	2	0	7	4	5	7	0
37	20	26	19	46	12	6	15
179280	110293	122602	140647	50473	229052	63295	89319
123	60	115	39	72	63	42	98
44	94	32	114	60	58	22	46
121	913	737	2312	663	2134	4263	8341
384	270	376	277	271	409	440	571
374	335	196	487	210	279	304	600
96	551	738	2977	8	75	120	1395
1188	1786	1559	1694	2337	2058	947	1460
999	354	335	538	674	676	455	265
1727	2198	1609	1550	2579	1360	2208	673
70	50	100	98	106	93	117	170
13	56	144	446	132	194	801	1697
216	345	124	553	193	264	172	728
12	13	7	16	29	81	51	49
791	610	1055	465	177	224	90	119
1045	875	2507	1601	1273	495	1163	584
752	214	227	346	132	137	106	224
69	53	229	67	93	125	86	18
2504	2500	5003	3350	1949	4962	2241	4959
2056	1598	3477	2281	2136	1847	1907	2535
85	41	41	58	85	63	134	80
2023	4667	6409	3772	649	742	240	1003
381	277	491	369	295	131	127	365
4755	3902	1087	1642	3328	2429	2510	4319
7	14	4	8	4	5	7	7
1522	1624	1886	2478	1853	1112	1956	3233
235	688	305	592	404	370	321	584
234	294	324	72	153	196	207	129
431	282	139	167	511	279	122	175
53	209	159	232	263	376	92	250
19	10	22	41	74	42	53	52
773	988	763	394	238	364	216	133
6	0	2	10	24	14	33	0
235	352	750	342	120	97	87	157
34	74	47	27	26	64	80	71
194	178	44	170	165	243	86	269
374	687	1309	7633	1165	3294	4638	30784
182	220	219	137	238	91	66	44
17	17	17	13	23	35	53	54
212	201	394	335	167	229	340	168
1856	1407	689	802	764	159	196	526
1188	411	281	356	764	442	309	521
9	4	1	0	14	6	0	0
47	22	12	27	38	44	28	30
476	1553	653	1950	484	1407	314	628
212	1144	1890	4321	1537	2533	6151	14467
9	41	20	48	23	77	41	56
36	16	42	36	7	13	28	30
123	100	169	45	131	154	127	107
151	66	128	47	187	170	103	147
26	5	21	23	6	13	16	11
28	6	7	20	16	6	22	27
261	318	434	287	282	372	116	338
1595	1963	1242	1867	1305	1837	1255	2309
300	312	84	376	286	401	248	431
45	87	20	54	28	34	86	27
98	47	63	46	31	36	26	14
97	96	150	56	121	75	27	242
16	6	14	5	4	4	6	24
5876	3973	12983	8441	17957	19082	7618	29196
273	243	600	144	364	202	409	207
348	187	187	422	143	163	65	411
1215	2382	1780	812	2006	1593	1644	1959
21	13	15	9	8	10	6	7
403	672	594	537	761	619	520	360
47	103	20	43	74	61	33	45
32	137	38	120	127	40	79	79
50	34	83	26	26	29	53	13
32	23	53	22	19	22	8	25
44	130	35	26	24	60	97	75
507	581	292	687	2692	2488	1005	1734
40	29	39	20	28	11	21	26
7	3	11	8	15	10	14	13
187	296	222	177	35	33	30	10
26	65	12	43	35	12	28	14
259	622	629	571	182	837	414	848
92	29	44	42	52	53	34	14
2827	5415	16642	79506	505	1008	2960	12302
10	57	154	833	62	208	844	1744
412	232	273	257	276	366	383	431
11	4	7	12	1	1	2	0
6149	14296	33606	87388	1260	1946	4966	8494
276	520	186	673	538	349	488	294
267	307	129	284	1275	544	645	1596
1143	1259	1353	2836	10075	6484	5512	7694
2692	5191	3531	5680	9809	3938	3689	3031
1775	641	1599	1287	701	593	492	335
608	711	614	298	827	1310	619	816
12	0	126	0	3	11	91	259
3970	2908	2636	1714	2015	2457	2205	2492
202	186	470	329	122	236	336	235
3230	1840	3749	1692	8484	14327	12270	10170
1469	783	1593	1555	401	1343	1625	777
586	344	291	382	589	248	328	170
330	531	175	328	150	139	320	288
52	103	63	92	35	98	46	83
523	837	703	1036	1318	2110	1596	564
100	527	65	194	154	76	166	162
7195	3597	3349	3247	3015	1897	2440	3707
1	5	2	11	8	2	3	19
71	154	77	136	84	170	160	180
635	1004	418	782	2035	3949	3192	2574
18	79	114	29	20	50	36	76
3	0	2	0	0	0	2	6
344	944	398	283	300	612	372	1512
381	345	158	110	176	117	123	85
5	2	4	18	11	8	16	6
176	241	420	238	151	356	371	326
21	39	16	61	19	33	16	18
12	10	0	7	6	4	7	13
1389	1628	1895	5421	2389	1640	5061	3067
74	65	50	37	497	511	214	377
8019	9998	5267	8542	13595	23277	21614	8175
478	681	336	396	190	208	308	22
153	588	915	628	1172	415	316	515
272	203	166	169	81	203	169	136
130	360	274	229	139	148	304	67
4	109	75	178	133	99	284	962
585	160	432	187	98	33	112	80
76	78	66	71	54	39	20	61
595	994	989	539	1061	362	234	266
8	18	9	11	11	13	4	4
36	8	16	28	81	11	39	15
66	65	43	89	75	69	81	64
212	346	438	69	180	148	196	342
449	535	52	116	620	264	304	140
165	358	261	262	2210	813	186	1078
876	400	560	655	320	411	193	601
622	553	920	1284	1039	393	510	497
1243	891	159	221	661	2433	1375	371
3208	8514	46577	53266	275	362	2523	3327
539	181	1004	700	519	1053	780	1808
256	127	79	183	68	103	121	100
1198	734	897	861	819	1425	993	1261
189	577	421	569	524	287	825	558
110	52	87	47	61	60	24	42
4	4	4	6	0	0	8	3
44	138	178	100	69	44	76	98
146	179	346	265	742	658	1162	2180
882	331	530	303	87	330	289	602
478	294	612	388	261	425	297	272
5	0	13	15	0	34	0	79
103	72	23	52	46	121	89	35
90	40	30	108	43	79	54	58
382	558	116	412	310	469	179	515
495	586	652	557	1092	535	536	666
20	66	57	72	50	53	68	37
1463	749	1452	703	550	710	995	1209
1013	1089	1465	1974	483	400	528	1086
8	8	2	3	50	18	37	4
8834	6852	9372	6245	26395	8128	6551	26352
3867	18467	54353	106172	26511	28415	87856	437928
54	60	161	138	117	153	140	80
26	50	41	57	28	26	16	28
747	385	731	124	359	582	812	326
3499	1588	1572	2781	9682	16765	3313	8581
39	87	75	144	553	393	317	141
11	19	11	9	30	51	8	10
342	458	432	326	580	466	236	539
526	491	948	1060	1394	4835	1533	1223
29	87	76	87	33	48	31	20
808	414	239	407	62	252	419	248
4046	2117	3091	4054	1974	2046	2088	2523
901	3312	10235	8216	2776	5698	30540	123177
34	58	154	177	54	90	102	35
71	83	37	50	290	174	73	416
16	13	21	13	22	17	9	10
593	1056	990	988	1749	2090	1481	636
25	50	52	22	65	52	28	45
214	490	318	463	240	1030	400	828
332	514	371	598	524	509	435	404
272	369	761	138	1578	420	472	757
2851	7145	10580	3832	2182	2810	4866	6314
215	529	429	371	884	546	520	1002
11	14	5	10	20	19	17	14
0	0	3	2	4	2	13	7
5	2	4	8	3	6	1	5
955	766	2092	959	1842	879	1288	1235
1097	740	808	597	582	690	1328	655
78	57	53	110	31	46	32	104
224	274	559	203	156	42	201	119
909	1189	1004	1286	612	834	636	1036
619	461	530	678	516	537	572	1026
337	404	174	267	71	37	44	64
14	26	25	12	44	31	29	13
103	78	423	48	148	153	76	109
441	1776	768	890	919	705	1563	1424
4701	1325	2012	2282	4616	7848	2594	9370
124	109	69	102	138	181	48	92
613	1112	1049	1220	659	547	720	822
112	121	41	149	117	252	50	74
246	280	248	51	274	458	347	454
215	359	1662	8632	92	314	784	1146
14418	20628	5397	14560	10620	7395	5993	9081
883	435	831	436	5720	2437	8856	5354
53	43	28	63	41	29	30	52
2	7	4	13	4	2	19	8
2087	1464	1286	2532	1343	870	1672	2120
2984	2588	7199	5872	5062	5303	4228	2684
6	8	0	2	9	2	1	0
11	10	6	13	10	11	8	9
2315	2957	3255	1192	1335	1258	1020	1868
22	49	58	58	38	49	60	82
350	420	515	682	455	333	286	513
133	355	358	275	262	43	318	302
227	289	332	226	784	1345	1527	1732
329	83	122	124	86	146	187	337
1666	6109	1350	2080	6450	6052	6624	4725
790	507	177	852	168	454	200	461
25	42	57	56	135	70	71	24
8675	3356	2000	2202	4245	2478	6548	2749
314	50	169	95	308	73	494	265
93	35	83	61	10	27	15	8
483	677	759	308	448	378	658	269
26	32	5	9	6	10	11	7
959	867	578	1200	195	242	35	251
631	412	362	260	61	32	36	77
177	163	80	626	136	343	342	236
69	54	30	17	43	37	9	72
381	197	128	150	486	320	272	384
242	163	228	131	617	407	661	402
2369	2508	2433	1854	2989	3572	2536	2103
217	316	221	278	335	426	237	183
16	16	14	66	51	95	28	68
657	1333	3081	1837	290	1167	138	709
1046	1076	1641	1249	961	2227	3503	3241
301	278	353	82	111	151	170	265
36175	15584	21972	9902	46188	43993	19476	6710
3	4	13	3	20	7	8	1
4828	10213	58667	75524	9898	16732	103902	141914
10	15	4	8	8	10	3	5
4514	3183	3279	5215	3098	4364	1865	4663
1921	5654	1838	4317	4835	6351	5839	4536
