ribo_cond1_S1	ribo_cond1_S2	ribo_cond1_S3	ribo_cond1_S4	ribo_cond2_S1	ribo_cond2_S2	ribo_cond2_S3	ribo_cond2_S4
226	142	425	363	226	278	385	251
1065	103	520	610	779	812	632	1092
45	63	81	13	103	43	41	76
9	7	10	8	8	4	2	7
789	456	399	1136	484	1146	380	531
5	4	0	11	2	0	1	1
48	35	20	66	68	35	43	30
106	65	176	152	106	87	107	55
2905	2696	2819	5943	4200	2231	2564	1499
860	486	252	1571	1320	871	750	335
14	9	7	14	10	7	13	12
18591	21106	18827	28298	27686	27340	13176	9738
1783	7608	13946	22938	3000	977	4877	21414
166	435	203	129	207	137	124	77
19	9	3	6	22	31	11	41
8	3	3	1	4	9	22	15
166	297	86	71	460	336	552	333
4066	10496	12256	8028	7471	12985	7182	17829
135	333	357	184	96	346	146	122
239	90	63	251	42	210	103	103
341	584	551	401	777	160	468	538
3	1	5	3	5	3	3	3
346	571	323	424	408	917	287	364
36	47	307	367	31	12	77	666
1463	418	701	916	197	494	288	688
4	9	7	1	3	4	5	3
3258	1466	3505	3622	2024	1439	5062	3768
48	32	47	55	73	39	28	13
36	33	49	16	47	82	20	36
224	355	191	339	488	203	1117	1058
1585	7036	19196	35937	2658	2836	11445	60505
9	17	11	6	3	3	5	4
24	19	66	6	19	52	64	67
36	8	27	30	9	26	31	62
32	28	27	14	7	9	2	4
312	260	206	390	331	39	347	155
173	230	421	87	338	238	206	194
3490	2758	5789	2785	3792	1243	2792	1365
194	759	411	547	414	250	216	105
660	440	441	670	391	558	781	1072
67	44	48	22	41	37	40	25
149	124	98	127	98	124	258	138
238	127	235	327	151	191	148	189
209	190	145	64	125	156	105	213
617	403	451	378	402	429	321	58
609	309	518	869	129	215	876	568
10	2	5	8	16	15	9	7
19	4	18	2	16	17	4	25
179	364	344	170	122	274	232	405
1204	594	417	478	1023	1492	1668	1567
259	243	39	345	193	382	284	138
116	49	151	73	47	62	95	148
186	115	77	93	58	80	86	114
12	5	14	16	6	9	15	7
14	22	7	4	10	6	18	11
323	296	103	236	134	339	167	275
584	567	713	585	1208	1131	400	3197
30	87	69	81	75	77	37	116
2188	1211	3864	2936	1857	3499	2212	4137
102	99	87	58	222	138	63	208
1806	1146	1002	2694	2392	2889	1397	2470
209	108	69	116	56	129	85	255
220	141	59	190	172	125	132	54
1275	1123	643	1689	2068	2111	1191	3325
168	124	42	187	19	174	95	100
670	1109	2054	588	2154	1885	1158	1186
118	369	567	1376	126	431	1057	3754
89	1342	501	539	623	684	541	463
358	656	2457	7540	323	889	2925	7091
82	138	149	137	93	129	80	89
7400	50680	42170	198427	8173	26630	69582	178596
510	1125	6352	15942	170	314	976	8864
95	291	157	121	158	81	146	186
1301	4270	4824	34448	12381	104186	163708	468325
699	897	640	665	520	234	837	277
106	126	220	240	154	102	126	292
157	65	112	204	388	94	108	215
409	287	211	613	938	485	636	670
594	258	513	252	259	324	589	316
216	44	114	100	131	120	84	74
35	66	43	71	44	81	26	46
11	64	57	64	42	86	27	71
22	214	888	1435	1298	1801	3421	6384
122	394	301	192	31	38	26	21
109	67	67	76	116	87	65	48
1415	1219	3148	3273	2628	1959	1758	6910
162	156	112	52	141	252	143	223
1795	11636	32611	80579	9767	20866	12905	50782
1526	5612	40892	97061	1354	4836	15417	38582
139	73	232	121	59	87	121	44
197	320	859	8291	54	909	1630	2585
477	262	234	512	327	407	333	267
286	718	492	503	488	370	595	169
9823	4587	4671	1834	3399	1819	7507	5095
300	672	1582	1006	699	1271	616	882
236	194	147	214	1577	2081	779	1431
78	50	54	130	69	57	46	41
70	20	62	66	80	55	73	44
13	2	17	5	21	11	13	8
395	291	496	1003	406	254	605	708
866	531	2855	1499	727	809	497	1612
514	1080	2835	6040	493	915	3203	8371
266	403	242	299	984	1659	563	725
64488	40496	46618	56063	19363	102546	185446	144429
2558	2200	1651	684	1013	1934	336	1942
686	699	653	293	328	289	650	198
370	179	303	176	622	365	805	320
3	2	6	7	4	12	8	7
140	252	593	379	185	308	66	295
26	55	23	27	25	24	20	7
95	171	494	608	79	96	562	759
2652	3207	14568	33854	784	1678	17378	14360
36	37	56	17	41	29	35	6
11	4	7	4	11	13	3	8
210	235	216	180	198	209	173	240
581	1983	469	326	862	1193	2605	747
39	44	53	72	64	107	24	155
922	253	528	366	541	825	1200	1054
4	8	16	13	6	3	6	5
376	274	293	170	272	477	217	179
2142	1839	3501	1951	1154	1653	3552	1403
135	58	61	70	166	72	47	63
338	423	382	316	710	857	216	504
7614	5120	1668	4349	2978	3683	5345	6310
128	26	170	130	957	825	1031	596
172	135	65	52	80	100	53	38
405	208	324	285	331	214	202	539
27	31	15	136	16	51	45	18
2560	2172	2898	2533	2994	850	2291	1644
34	57	104	71	67	84	68	72
23	32	52	108	12	15	25	25
7	11	0	0	8	14	11	4
137	313	81	210	200	180	206	243
207	86	110	176	28	377	95	288
52	30	173	45	13	13	9	19
161	100	299	232	224	182	146	294
23	14	29	9	13	2	6	8
246	327	139	457	73	117	156	239
585	225	515	221	464	796	414	569
992	876	1527	1015	1264	879	756	2138
265	126	85	183	120	61	232	186
1049	579	1118	452	654	632	379	723
109	169	156	158	143	176	206	68
114	170	98	64	239	137	80	232
368	201	202	226	34	84	228	119
499	360	360	528	314	151	391	356
67	97	202	103	57	130	94	64
21	49	64	22	18	75	32	45
1457	2302	12592	34783	1461	6098	9883	38810
281	163	265	304	64	128	105	59
294	271	263	128	86	251	519	148
519	946	3064	4580	702	931	3146	8550
768	608	565	369	689	478	250	835
85	122	89	25	87	79	128	26
249	486	524	101	190	213	189	111
1776	795	1322	751	1113	1345	614	1806
1627	597	1255	1096	899	1391	1773	881
1658	791	914	1233	1122	518	795	743
216	502	590	318	396	570	345	323
512	608	2086	1107	1170	1525	912	946
13	18	9	26	19	19	18	8
449	1512	2070	8370	187	887	891	4334
43	125	87	100	134	138	80	109
2914	4082	12638	40973	3743	10751	57676	61826
77	133	83	87	140	40	64	191
133	167	276	273	141	99	146	121
334	493	584	385	29	46	18	40
484	1452	5528	7641	684	2240	5380	23674
186	109	300	140	405	314	403	679
3429	9294	36173	18677	3363	3634	21786	37505
37	58	78	113	55	158	146	97
260	322	417	239	300	518	296	565
1585	1720	1949	1805	691	618	1497	1709
240	211	333	423	316	135	287	285
51	234	70	156	390	253	159	154
16	41	30	8	48	24	22	48
1	3	4	9	7	5	10	1
1529	470	499	912	830	936	1507	878
1	5	11	10	3	13	14	15
165	101	140	308	289	170	172	48
5	4	0	2	4	0	0	0
475	1609	707	1085	454	517	383	972
83	76	90	89	112	88	198	128
388	543	1006	213	506	331	301	535
592	2581	6442	26589	1293	2832	5158	18253
7	19	36	5	6	12	9	3
0	4	7	13	2	4	11	4
109	175	70	90	208	246	122	165
83	108	114	72	240	117	145	136
6550	20110	26660	12703	9741	6648	5715	10282
1247	1027	1637	3114	1221	2121	4221	2272
4	32	5	7	6	4	9	4
208	316	342	304	159	287	172	140
323	549	487	291	529	213	270	207
153	272	170	106	344	618	647	260
119	640	310	414	540	492	605	789
35	44	75	98	104	120	99	162
211	65	172	468	89	306	369	111
1654	688	1293	532	1130	1480	542	464
2411	5631	19785	26873	2006	12939	8200	101563
621	717	597	738	940	1293	966	336
693	917	1020	895	662	192	1024	1027
197	393	197	270	76	346	288	128
938	346	758	1744	650	453	655	1210
3877	5478	7624	12320	7423	6404	9910	7506
709	331	240	206	354	463	268	497
19	60	51	59	22	6	42	31
47	31	60	91	57	34	87	61
45	75	36	19	13	26	50	45
539	636	146	276	1142	378	1185	646
36	61	35	38	66	39	57	68
47	194	316	1925	89	135	509	2059
214	365	290	433	213	347	291	584
86	176	192	109	107	185	137	98
409	657	373	295	503	967	1185	883
793	1775	990	880	1670	777	1057	684
563	244	99	479	6276	2201	4235	1497
148663	146308	214391	274673	47764	74318	71491	61744
372	1059	925	892	1382	967	2151	1968
12	3	7	5	7	15	7	19
249	271	404	222	85	149	212	231
46	82	40	61	132	93	194	139
217	72	115	132	106	132	127	24
26	9	10	7	11	8	6	13
0	0	12	3	6	0	0	0
25	43	59	23	8	29	13	42
1175	785	423	792	727	341	703	549
10	23	42	28	23	23	21	16
12	2	5	8	1	7	10	0
45	84	30	68	26	32	32	84
1604	2992	1911	977	724	880	433	1389
179	143	172	132	261	184	209	211
730	660	911	1361	223	474	1114	550
33	43	20	21	44	63	23	66
1	1	6	10	4	2	5	1
833	846	606	878	504	172	446	1095
1294	1497	2041	1847	783	898	1530	1624
4952	875	2910	1265	2392	4043	912	1690
1537	343	385	441	983	431	719	754
478	457	1241	266	1017	1035	1025	395
1850	2552	1131	2427	1992	2787	1076	1171
129	94	263	274	59	119	128	138
1460	971	2328	1500	2844	3140	4037	1868
7	4	5	6	5	1	7	6
4430	5071	2122	7521	11097	11731	2710	12773
117	143	118	71	243	42	245	162
310	252	298	272	47	105	121	303
1058	1171	6039	8097	217	505	652	3394
169	59	55	145	99	101	48	113
413	276	476	286	129	138	474	336
70	164	58	69	84	120	67	43
12	2	13	5	4	6	10	18
161	347	750	476	471	512	995	532
9507	1976	6230	5638	3890	5203	5739	4449
359	107	276	232	601	482	796	293
316	460	560	172	345	127	113	409
43	75	30	83	69	42	100	32
207	162	209	107	79	122	62	193
1053	792	1628	2162	663	382	653	1070
180	410	317	285	1063	355	268	675
778	509	518	133	264	157	619	744
315	162	241	169	206	225	304	412
22	4	31	6	10	10	34	17
35	64	34	48	162	517	319	99
273	215	174	151	300	295	156	133
20	45	20	78	29	11	11	38
239	168	141	265	448	615	611	255
7	21	34	27	4	12	26	6
101	86	76	77	31	92	179	58
7	17	33	11	10	28	41	6
80	65	84	79	107	34	154	89
148	429	504	96	320	274	175	195
49	27	33	30	16	51	85	89
1199	357	484	1254	869	1113	485	970
45	78	77	217	130	162	129	177
133	205	467	316	510	976	644	936
600	711	600	576	174	499	788	272
260	251	391	316	2442	2967	3903	1862
1945	1663	3661	3296	2671	7462	6290	3499
387	470	988	1085	1599	1527	513	536
65	142	109	75	138	110	297	291
172	48	38	84	139	40	130	81
2673	4133	7413	7754	7425	7511	5194	8010
17	44	68	12	28	28	37	1
33	148	370	1305	93	302	331	1524
67	49	64	44	16	12	7	10
18	60	62	49	103	49	58	48
128	57	223	152	122	101	185	57
102	364	95	78	233	201	223	140
2	2	3	3	7	5	7	2
245	755	346	482	363	694	638	240
1355	675	786	1776	431	727	1209	963
1016	715	1155	553	983	590	1874	521
762	507	1113	516	739	1325	599	1675
227	293	210	551	743	308	236	676
96	83	56	90	18	40	23	54
520	347	775	308	499	1560	1845	608
3454	18001	40688	94346	3636	16094	42398	243282
141	125	119	289	60	264	216	175
186	287	229	123	170	224	440	69
167	192	84	278	131	64	142	296
12	15	19	38	31	26	27	21
194	529	728	186	241	271	308	133
457	279	465	395	382	706	877	390
471	96	892	246	281	918	930	678
100	71	119	53	274	193	314	129
140	241	328	682	298	237	328	390
4495	1900	2199	4896	2440	2525	3156	3148
241	226	254	403	166	344	248	152
934	760	384	848	3290	2617	2721	2050
776	940	1462	1061	713	1171	489	961
292	321	168	176	162	125	207	167
5	23	14	18	1	11	6	13
162	106	291	241	243	386	161	230
11	19	28	25	19	21	28	12
4	4	11	8	3	3	2	6
4431	2115	3867	3772	3496	3951	5202	5223
3797	5382	5349	5632	3930	1711	4201	2230
23367	15863	5857	12473	5134	16638	11614	13909
17	47	21	61	35	46	7	35
14	20	14	21	6	12	41	27
29	13	13	9	9	13	0	5
271	212	284	366	196	57	85	342
136	65	208	233	184	186	45	172
345	1234	3070	1010	2390	1034	1686	1563
11	2	5	15	5	14	18	4
170	360	171	345	294	228	177	219
413	1656	3402	13826	706	1486	3596	11188
789	587	687	371	555	942	732	1036
137	182	256	96	88	139	146	85
37	63	36	26	9	53	38	31
328	293	349	261	231	265	384	149
613	361	735	114	398	1144	893	1083
560	502	449	746	241	197	258	257
101	122	52	18	73	111	90	64
69	67	20	87	79	33	39	66
518	482	371	617	272	366	191	476
440	498	625	1102	660	489	374	131
183	120	120	46	123	216	235	126
1701	2957	2053	1110	766	2597	379	533
34	13	18	27	29	24	34	23
49	32	42	56	80	70	55	59
35	64	73	72	120	58	83	157
46	127	500	68	158	93	72	187
4136	6719	53610	65605	10735	27851	45117	125190
3	11	7	4	5	9	9	9
112	109	196	185	83	277	119	215
1515	1949	1735	2764	1933	4962	2192	5530
158	415	123	390	245	121	234	335
317	256	283	475	248	232	416	295
113	425	170	220	74	42	111	79
910	160	430	916	1535	742	827	1090
22	27	59	45	40	16	18	32
888	380	780	553	417	149	578	961
90	106	74	42	48	204	89	52
265	355	453	256	462	343	496	179
85	351	281	267	154	819	715	1134
226	214	514	428	407	248	258	345
527	730	331	672	685	402	327	210
35	32	28	52	16	40	78	38
79	42	35	42	76	29	86	91
182	298	593	385	292	530	231	999
1026	920	2169	1995	2167	2059	1133	2230
23	23	12	6	14	19	6	8
84	37	18	62	93	32	28	65
550	955	982	1820	653	521	489	312
2102	2064	306	941	1199	1205	1860	2220
196	135	108	232	67	44	38	29
517	217	193	449	271	220	327	435
25	15	27	11	17	19	9	25
549	892	370	1063	434	1084	576	497
346	200	108	202	459	769	160	477
500	36	417	333	466	304	207	423
296	182	226	228	124	240	156	409
191	399	83	106	475	388	1372	323
664	1391	530	471	47	377	182	413
96	33	47	123	31	42	20	39
2739	3933	6880	6665	6255	3283	2892	6179
171	114	127	73	92	60	139	96
2382	1227	1518	1161	1261	1194	2102	1546
729	465	1158	444	660	873	238	920
9859	11483	10900	5571	9247	45267	16637	29353
233	125	140	157	97	330	88	252
38	32	33	16	6	7	3	5
95	409	895	1493	238	425	942	3423
2	6	3	8	0	8	5	7
4698	3128	2293	6137	3274	1943	4445	2420
4	4	7	8	15	18	19	12
804	206	366	308	181	894	986	1217
5	1	4	6	3	2	7	5
19	22	46	47	150	121	135	114
939	701	1292	671	1169	248	390	1560
109	188	224	115	147	228	230	321
370	422	709	349	55	471	658	344
3803	3124	4547	2853	2694	2796	3101	10447
0	11	13	11	13	0	5	14
33	109	112	125	278	82	59	283
17	19	6	39	4	4	17	26
28	17	19	25	13	4	20	22
180	377	130	449	234	246	130	190
8156	55930	44820	139509	9715	30738	59377	159354
41	146	67	37	65	70	87	88
55	36	78	20	47	54	96	50
1814	2423	9551	12346	1127	1740	20249	13986
197	160	180	276	223	93	146	256
3	7	3	4	8	2	1	3
810	697	1362	1039	755	566	1498	502
238	366	820	372	166	426	611	724
8787	25435	80090	196506	20229	23223	117868	48054
149	260	72	124	285	322	479	325
49	59	41	114	276	233	201	155
912	408	689	901	339	477	476	403
699	435	425	167	316	158	688	200
9255	14488	11728	12078	4694	9505	3924	3320
28	11	15	15	9	13	11	10
842	1021	654	515	1019	439	1006	511
3869	8331	5492	4702	4380	4554	6010	8424
380	441	490	499	577	1234	714	288
11	7	7	8	1	1	1	2
90	158	390	309	429	417	58	353
211	988	566	662	593	399	981	306
760	423	897	240	364	853	760	232
391	545	141	254	364	226	394	656
447	1248	580	1065	740	683	600	1068
87	116	131	25	62	78	81	50
748	489	251	292	886	488	213	306
23	97	70	106	126	175	40	114
8	3	7	10	15	16	46	0
8	3	5	8	2	2	4	2
13	22	4	5	19	33	23	32
262	148	461	66	63	80	62	36
238	105	68	191	115	166	109	136
738	829	528	323	665	572	446	631
774	5791	16163	30193	1145	6623	10789	29964
33	83	45	121	60	138	51	37
100	166	188	175	156	281	301	559
26	12	6	19	15	7	4	11
75	41	94	84	14	15	47	10
315	430	961	331	379	475	623	368
222	355	533	373	576	369	328	810
1368	1150	1202	1316	915	523	1468	1325
876	695	790	710	2244	968	2828	733
2972	1819	10031	29390	3074	4976	11521	48529
417	375	331	167	553	614	903	353
5312	2942	4579	3663	1781	3122	1148	2227
376	390	676	298	593	1015	290	213
18	27	24	6	3	8	18	30
5	1	6	0	4	0	0	5
22997	6647	9456	5274	7519	4519	7586	10035
93	93	371	92	177	262	153	309
4	6	8	2	6	2	5	3
311	476	503	520	637	179	770	493
359	225	389	242	509	150	375	178
1425	4516	1635	4025	1016	1347	812	988
154	152	60	114	156	240	95	143
202	80	584	294	147	374	249	401
140	90	65	179	123	248	283	119
81	30	24	61	11	32	19	37
649	819	1001	712	1605	526	650	249
53	27	69	22	50	37	33	51
34	58	18	26	46	13	16	18
25	8	8	18	24	24	18	10
71	146	33	65	105	89	51	66
39	158	45	138	146	48	91	91
84	61	133	43	47	49	93	25
53	44	92	40	39	39	14	45
8869	21490	25965	4486	5230	10766	15262	11384
44	59	28	68	279	264	107	162
794	551	139	753	442	275	258	346
63	201	233	53	173	149	203	277
150	54	112	75	13	21	7	13
361	230	274	99	239	150	60	341
15	40	30	16	66	35	45	21
15	13	6	5	9	11	1	6
1905	6564	57951	95946	1941	5738	23552	19661
2183	4395	15062	42353	1832	5666	28020	18424
69	99	142	188	222	195	263	327
55	38	23	28	31	26	20	35
656	3746	8693	16149	1138	5130	5777	28169
2261	2859	1722	1750	1563	613	1385	1350
28	34	95	71	369	397	827	455
107	35	37	97	462	297	605	511
529	1385	1496	1019	947	623	1750	1789
9	17	9	14	6	5	7	5
108	85	166	330	174	147	167	271
56	233	218	1206	184	532	1694	3370
45	51	17	48	26	26	42	50
157	390	270	109	199	283	196	207
33	85	31	61	316	275	221	276
5	10	5	0	6	0	1	10
2	3	9	5	15	10	2	4
601	721	1312	440	656	377	349	767
13170	6376	12231	7613	7735	12386	14802	8377
1495	1310	1130	577	1377	2129	2268	1393
1170	716	862	376	925	756	431	899
4	5	6	10	2	7	5	1
2001	2403	2069	452	2343	961	3352	3851
239	253	164	167	229	142	273	257
407	325	507	220	1316	1051	1998	1628
91	21	92	131	31	24	58	49
229	437	139	358	91	229	134	205
42	139	62	45	37	92	51	229
702	622	301	208	321	215	230	162
72	107	92	147	97	143	65	78
73	32	24	62	64	57	43	73
897	866	1098	1996	351	2210	1147	782
78	110	151	80	56	47	67	75
279	441	727	2515	939	406	1041	879
144	62	200	117	369	175	48	89
2	1	8	16	9	19	10	3
14	6	4	9	3	5	1	3
305	179	48	178	294	206	356	126
70	128	217	161	126	131	65	161
241	197	179	479	299	251	189	204
1262	785	2061	6625	346	2149	3010	17256
4974	5664	3327	5318	850	804	639	456
38	49	32	16	65	43	105	24
106	42	72	88	26	32	30	24
59	39	43	57	82	34	73	62
177	372	158	322	141	199	357	479
124	76	57	79	154	122	38	65
222	184	107	230	85	115	160	209
285	514	307	348	323	858	172	329
7277	12123	11088	14192	29127	38308	19455	18742
69	190	288	268	400	181	250	306
1421	1768	904	2693	1476	1342	2206	3038
38	16	17	37	53	32	10	9
120	531	2521	2905	59	165	431	1977
86	140	71	190	125	154	46	287
519	249	488	364	627	650	325	212
413	217	316	365	299	314	187	223
1207	1151	1988	1375	2043	998	2864	2093
2042	1557	914	2510	1686	2983	953	1944
240	315	302	140	176	147	304	344
339	274	370	515	222	264	260	576
755	526	558	346	3003	3227	1011	1158
9	8	6	4	17	3	10	5
760	554	737	577	258	315	791	269
86	349	212	445	1080	864	1270	881
7	9	10	11	15	12	13	29
50	91	202	185	302	209	66	160
8746	18601	6220	6564	11636	4284	9856	9879
53	94	67	71	71	97	22	80
129	186	72	216	103	120	148	118
8422	4429	4185	5181	2459	4834	4437	3925
2533	2622	2063	3337	847	1536	796	1526
11	6	21	13	36	35	16	26
1215	1639	857	708	1013	2042	917	1635
103	341	1474	2481	81	124	1481	1801
95	179	114	86	118	112	55	88
463	418	345	334	583	334	205	349
28	59	14	72	70	99	55	79
1841	3560	4485	1878	2653	3362	3461	1490
555	197	368	177	754	567	1031	1066
6	13	13	0	15	3	17	6
48	106	92	171	246	170	144	62
274	320	141	109	495	375	468	351
465	439	333	487	172	88	203	44
28	69	83	74	135	62	78	41
1248	1084	604	548	1355	535	927	972
576	5312	12059	15945	564	824	3175	11210
368	397	385	487	210	274	275	94
12	18	12	0	21	12	30	14
8	40	13	20	20	5	10	17
165	220	111	329	283	469	300	430
57	44	73	47	74	70	43	68
339	499	644	638	634	770	546	244
53	104	112	54	130	104	57	89
572	1294	834	1216	1210	5209	2166	4277
1452	756	560	880	639	620	531	490
26	47	84	16	187	53	38	99
122	411	209	203	150	189	355	252
2095	3331	3855	1347	3886	6420	2974	4350
149	34	165	111	129	269	89	231
57	18	34	37	15	8	20	37
4116	2805	3258	5213	3501	3975	3130	8616
11613	20435	9370	14222	15090	21269	14666	15010
228	200	233	437	81	114	84	81
186	67	72	44	36	83	60	125
25	15	18	32	39	30	55	33
2726	1310	2130	2668	2085	2500	1846	2170
222	122	133	137	269	132	166	73
209	240	146	168	221	142	436	91
1118	1310	888	859	446	788	552	2434
239	694	730	422	1190	614	2441	1062
135	139	109	245	183	221	67	90
418	396	678	222	806	555	480	295
319	480	631	178	345	260	459	440
206	110	87	134	504	270	211	63
2348	2319	6907	11195	2697	3998	9193	38355
83	16	61	111	63	91	42	21
40	71	78	104	440	258	294	465
3	0	12	3	4	6	0	15
331	143	358	156	516	328	334	276
13	34	29	20	18	32	4	17
971	1930	1550	1017	1885	1230	1085	2121
565	369	678	876	440	371	1003	848
185	212	140	71	129	124	199	86
128	312	603	600	306	232	260	258
660	312	203	387	465	363	434	427
53	159	160	167	173	140	77	115
124	154	90	153	155	138	58	193
13	8	11	5	94	10	91	86
163	203	242	162	96	169	170	224
38	7	10	11	23	47	63	107
30	106	17	24	49	44	41	53
95	106	97	59	69	69	90	68
527	797	486	676	915	205	651	272
722	299	189	187	352	242	579	247
1594	258	879	555	1507	382	2454	1280
70	26	60	43	24	59	38	21
35	41	59	14	22	34	41	21
325	195	237	170	255	351	183	380
91	215	211	303	20	10	14	47
173	58	101	176	142	96	64	140
54	132	76	66	50	63	41	64
166	116	77	38	101	80	20	62
9	15	5	14	29	19	30	13
16	12	44	22	10	11	46	31
7924	6892	7223	7214	4040	7989	9564	6797
131	113	168	113	153	286	364	203
25	16	16	13	66	39	75	22
591	181	362	819	739	515	2050	254
130	57	62	88	38	30	68	115
589	529	508	635	173	266	375	417
62	48	20	26	36	107	98	30
697	2810	13438	82959	876	3123	5746	78536
808	373	393	232	503	286	353	189
5659	5902	6803	4940	4055	5558	5696	9076
83	106	43	125	54	148	40	104
123	118	333	1001	59	200	485	611
42	20	14	20	5	18	64	55
57	50	60	44	36	25	27	21
2692	1345	2413	564	441	628	743	189
73	32	34	25	27	57	50	63
586	501	358	379	656	687	714	739
38	157	134	760	109	113	555	977
322	379	412	328	874	333	416	372
65	297	306	96	99	95	103	64
22	40	49	33	17	26	18	14
112	110	32	106	108	24	44	51
253	236	405	172	146	310	126	321
